SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,LUMEANTS92,LUMEDTS92,LUMEANTS93,LUMEDTS93,LUMEANTS94,LUMEDTS94,LUMEANTS95,LUMEDTS95,LUMEANTS96,LUMEDTS96,LUMEANTS97,LUMEDTS97,LUMEANTS98,LUMEDTS98,LUMEANTS99,LUMEDTS99,LUMEANTS00,LUMEDTS00,LUMEANTS01,LUMEDTS01,LUMEANTS02,LUMEDTS02,LUMEANTS03,LUMEDTS03,LUMEANTS04,LUMEDTS04,LUMEANTS05,LUMEDTS05,LUMEANTS06,LUMEDTS06,LUMEANTS07,LUMEDTS07,LUMEANTS08,LUMEDTS08,LUMEANTS09,LUMEDTS09,LUMEANTS10,LUMEDTS10,LUMEANTS11,LUMEDTS11,LUMEANTS12,LUMEDTS12,LUMEANTS13,LUMEDTS13,LUMEANTS14,LUMEDTS14,LUMEANTS15,LUMEDTS15,LUMEANTS16,LUMEDTS16,LUMEANTS17,LUMEDTS17,LUMEANTS18,LUMEDTS18
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017003,Thabaung,သာပေါင်း,0.005436893,0,0.003495146,0,0.010485437,0,0.020582524,0,0.027184466,0,0.020194175,0,0,0,0,0,0.006601942,0,0.003883495,0,0,0,0.032621359,0,0.122718447,0,0.260194175,0,0.145631068,0,0,0,0.150679612,0,0.095533981,0,0.484271845,0,0.333203883,0,0.332427184,0,0.29592233,0,0.020977623867874266,0,0.004262120404901438,0,0.009323388385721897,0,0.0063265849760255725,0,0.004994672349493873,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017004,Ngapudaw,ငပုတော,0,0,0,0,0,0,0.01289657,0,0.026566933,0,0.011606913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031725561,0,0,0,0,0,0.053649729,0,0.123291205,0,0.032241424,0,0.101367036,0,0.0009630959155977762,0,0.00013133126121787857,0,0.0024952939631396926,0,0.0020137460053408045,0,0.0031081731821564593,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017005,Kyonpyaw,ကျုံပျော်,0.107355865,0,0.089463221,0,0.076540755,0,0.112326044,0,0.129224652,0,0.112326044,0,0.039761431,0,0.039761431,0,0.148111332,0,0.10139165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16500994,0,0.226640159,0,0.220675944,0,0.254473161,0,0.006482429205049471,0,0.0008529512111907199,0,0.004776526782668032,0,0.009041282838621632,0,0.01330603889457523,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017006,Yegyi,ရေကြည်,0.174132492,0,0.144479495,0,0.098422713,0,0.113564669,0,0.189905363,0,0.12681388,0,0.026498423,0,0.021451104,0,0.165299685,0,0.065615142,0,0.012618297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119873817,0,0.335646688,0,0.242902208,0,0.324921136,0,0.010295870813915682,0,0.0022759293378129403,0,0.01636501571475019,0,0.015389617427116073,0,0.022434160615584696,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017007,Kyaunggon,ကျောင်းကုန်း,0.151190476,0,0.164285714,0,0.094047619,0,0.166666667,0,0.15,0,0.129761905,0,0.05952381,0,0.035714286,0,0.154761905,0,0.135714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044047619,0,0.189285714,0,0.172619048,0,0.273809524,0,0.0033030553261767133,0,0.001032204789430223,0,0.0037159372419488025,0,0.009083402146985962,0,0.011767134599504542,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017008,Hinthada,ဟင်္သာတ,0.46191248,0,0.521880065,0,0.462722853,0,0.676661264,0,0.93273906,0,0.61993517,0,0.491896272,0,0.307941653,0,0.617504052,0,0.517017828,0,0.270664506,0,0.209076175,0,0.103727715,0,0.190437601,0,0.152350081,0,0.1726094,0,0.165316045,0,0,0,0.564829822,0,0.70178282,0,0.691247974,0,0.898703404,0,0.0524631227386585,0,0.03492902866685221,0,0.05677706651822989,0,0.06860562204286112,0,0.0729195658224325,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017009,Zalun,ဇလွန်,0.056921087,0,0.051746442,0,0.065976714,0,0.098318241,0,0.094437257,0,0,0,0.037516171,0,0.032341527,0,0.111254851,0,0.103492885,0,0.047865459,0,0.03622251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160413972,0,0.252263907,0,0.228978008,0,0.355756792,0,0.013489208633093525,0,0.010116906474820143,0,0.013039568345323741,0,0.023381294964028777,0,0.02990107913669065,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017010,Lemyethna,လေးမျက်နှာ,0.016207455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354132901,0,0.406807131,0,0.222852512,0,0.137763371,0,0.0008416327675690841,0,0,0,0.0016832655351381681,0,0.007153878524337214,0,0.001262449151353626,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017011,Myanaung,မြန်အောင်,0.161889597,0,0.223460722,0,0.283970276,0,0.304140127,0,0.279723992,0,0.239384289,0,0.157643312,0,0.149681529,0,0.238853503,0,0.268577495,0,0.192675159,0,0.10403397,0,0.151273885,0,0.089171975,0,0.085987261,0,0.117303609,0,0.075902335,0,0,0,0.97133758,0,1.58014862,0,0.569002123,0,0.869426752,0,0.012745277828718137,0,0.003942783788740143,0,0.0156794425087108,0,0.026957637997432605,0,0.019347148358701632,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017012,Kyangin,ကြံခင်း,0.249297753,0,0.409410112,0,0.450842697,0,0.485955056,0,0.511235955,0,0.416432584,0,0.570926966,0,0.244382022,0,0.438904494,0,0.443820225,0,0.249297753,0,0.111657303,0,0.12991573,0,0.150280899,0,0.193117978,0,0.224719101,0,0.115870787,0,0.318820225,0,2.280898876,0,3.202247191,4,0.673455056,0,2.112359551,0,0.02034104750304507,0,0.0048721071863581,0,0.04531059683313033,0,0.03909866017052375,0,0.037637028014616325,0
